category,businesses,avg_stars
Photo Booth Rentals,92,4.684782608695652
Reiki,201,4.681592039800995
Beer Tours,51,4.647058823529412
Meditation Centers,99,4.6313131313131315
Barre Classes,158,4.613924050632911
DJs,127,4.574803149606299
Personal Chefs,116,4.568965517241379
Team Building Activities,136,4.5625
Axe Throwing,53,4.556603773584905
Food Tours,62,4.556451612903226
Paint & Sip,109,4.555045871559633
Life Coach,130,4.546153846153846
Boat Tours,61,4.540983606557377
Event Photography,325,4.536923076923077
Pilates,294,4.535714285714286
Walking Tours,100,4.53
Traditional Chinese Medicine,174,4.525862068965517
Historical Tours,136,4.522058823529412
Dog Walkers,284,4.519366197183099
Distilleries,105,4.519047619047619
